text,sentiment
aplikasi buka ya,Negative
ya pos foto konten langsung item ya,Positif
bagus banget apk ya mode offline,Positif
platform mantap,Positif
capek uninstal buka,Positif
suka ngebug,Positif
buka heran stuck logo doang,Negative
apk ya bagus banget bisalahh nghibur maaf dry text,Positif
senang tonton tiktok video tarik,Positif
i like,Negative
po ooo oopl o l,Positif
kalaw belanja shopee no kawan belanja tiktok cod pilih cod parah bohong,Negative
parah banget aplikasi tiktok tolong baik,Negative
suka banget aplikasi ya,Positif
menginstal ya ku rating jelek,Negative
tambah dapat,Positif
live force close parah,Negative
bagus,Negative
seru kadang bug ya sih,Positif
putar video,Positif
sih tibatiba log,Negative
banget buka hapus download,Negative
tiktok aneh buka,Negative
bagus ajar social anak anak,Negative
tiktok aneh,Positif
tiktok sih,Negative
tiktok pos vidio ngeot,Positif
apk,Positif
bagus minus atur simpan langsung kadang kadang update,Positif
aplikasi ya bagus kenal orang aplikasi manfaat ya salah satu memotifasi ajar dll,Negative
assalamualaikum,Positif
hai batu folow,Positif
senang aplikasi,Negative
bug updated,Positif
sumpah ya capek banget sih tiktok dihape suka ngestuck logo pas hape langsung lot paksa uninstall download dihape,Positif
aplikasi bb bagus,Negative
inspirasi,Negative
bagus siii pas masuk tiktok ya lamaa banget uninstall dowload ya,Positif
buruk,Negative
buka,Positif
poin sulit,Positif
durasi video lengkap,Positif
aplikasi bagus,Negative
min baru masuk,Negative
pakai sound ya bisu mohon baik min,Positif
oke bagus,Positif
kece abang,Positif
bagus besa belanja,Positif
maaf ya min aplikasi bagus oke baik bug banget tunggu ya,Positif
joko jomlo,Positif
bagus login banget,Positif
baik situs ya,Positif
sukses,Positif
hibur informasi update,Positif
jelek sulit buka,Negative
tiktok ya bagus,Positif
moga senang pakai aplikasi,Negative
bug adasolusi buat aplikasi solusi uninstall download,Positif
aplikasi ya bagus sih bagus cuman bikin video efek ya efek hilang,Positif
apk ya bagus hibur trmksi apk tiktok,Positif
bantu tambah hasil salin silahturahmi nusantara negeri alhamdulillah,Positif
deh,Negative
gua nih ya,Negative
ik,Positif
pesan ya,Positif
tiktok,Negative
aplikasi bug update uninstall reinstall,Negative
suka banget jirrr,Positif
tiktok eror buka,Negative
diupdate simpan foto sih bisabisa,Positif
suka buka,Negative
bug masuk paling masuk cuman muncul logo tik tok ya doang suara video,Negative
terimakasi aplikasi bantu bisnis online yuk pakai aplikasi tiktok,Positif
saran min biar video upload bagus blur ya pakai fitur kualitas upload ngeblur bagus hasil pas upload tolong min kasih solusi,Positif
aplikasi scroll tiktok menit langsung,Positif
tambah fitur hapus video simpan hapus banget,Negative
top markotop,Positif
download tampilakan nama layar,Positif
agus,Negative
bug pas buka tiktok eh hp ngefrem dikit tiktok buka ngestack logo tiktok hapus download buka tiktok,Negative
ngelag,Negative
ssngat bagus seru tonton lucu sedihsenang dll asyik pokok ayo download,Negative
apk ya bagus ya kadang buka apk tiktok perangkat mati ruang simpan kosong,Positif
aplikasi ya pakai update,Negative
tiktok bagusd,Negative
update bugnya sih,Positif
suka,Negative
tik tok jelek masuk langsung coba gara gara aplikasi memori langsung penuh sesal donlont tik tok bagus jelek beneren mbak ya mending donlont,Negative
mantrappp,Positif
buruk tbtb kali masuk apk iya hapus apk,Negative
banget kesini nih aplikasi nge lag ya hp buka tiktok dikit lag dikit lag mati banget,Negative
live ngecet teman live buka folowers ku ribu ribu folowers ku atur malas tiktok,Positif
ok sih,Positif
kacaau ngebag,Positif
aplikasi cocok bangun tidur,Negative
mantap hemat data,Positif
suka banget,Positif
aplikasi ngelagkeluar bikin ngelag hp,Negative
pokok puas,Positif
bagus sih sih belok balok blok susah daftar ya bikin emosi deh masuk aplikasi tiktok banget paksa hapus tiktok ya,Negative
banget ngebuka ya ku uninstall biar kebukatolong baik,Positif
bug ya haripake masuk download ulang malas cok bug,Negative
r,Positif
cocok hiburann terbaikk,Positif
suka ngeleg,Negative
aplikasi suka bug masuk uninstall kadang kali uninstall tolong baik bug ya kesal banget,Positif
bagus kadang ngelek,Positif
force close,Negative
bug,Positif
sih suka susah bikin akun ya,Positif
tiktok asuu,Negative
makan skrol tiktok mantap hhi,Positif
knapa tik tok ya toko ganti teman,Positif
tik tok tolong pulihin akun user name agustd kena sb jahat banget lo sb akun gue tik tokkkkkkk pilihin astaghfirullah benr ya tik tokkkkk jahatt banget,Positif
bagus tepu hadiah tolong cek,Negative
suka tiktok asik banget lagu ya asik asik vilter lucu lucu cool banget konten ya fyp asik dj mainin lumayan suka deh,Positif
seru banget,Positif
kak tiktok shop ku hilang chekout,Positif
tiktok senang,Positif
tiktok bokep,Negative
pls buka,Negative
tolong bikin vt provokasi langsung baned,Positif
maaf kasih bintang masuk suka masuk tolong baik plisss,Negative
pas up video nge bug up heran banget update buruk,Positif
burukkk,Negative
bagus banget aplikasi ya tolong baik kali instal buka cari ya bagus anak tolong baik,Positif
tolong tiktok baik diupdate ya ya kemarin lancar eror,Positif
akun gua blokir akun haduhbintang gua bintang,Negative
kasih bintang bug ya aneh aplikasi tiktok suara tolong baik bug ya ya,Positif
donwload ya,Positif
multi ya hilang tolong baik,Positif
lelet,Negative
apl tiktok bagus keranjang belanja video ya bagus kasih bintang,Positif
aplikasi ya bug buka pas buka tolong baik ya admin tik tok,Positif
tolong hapus data pakai apk tumpuk langsung buka capek anstal berkalikali,Negative
ssangat seru,Positif
ok mantul,Positif
aplikasi rusak bug mulu masuk gambar logo tiktok mulu masuk masuk,Negative
apresiasi,Positif
cahayah,Positif
akun blokir,Negative
stuck tiktok,Negative
apsih anjirtiktok lagmau masuk aplikasi bisakyk apa gitumau uninstaltapi streak temangimana ya gitubukan ya bagus kayak ginitolong baik bisa,Negative
jelek nge bugkeluar app,Negative
apk terseruuu,Negative
kapok belanja tiktok shop mending belanja,Negative
ya scroll tik tok,Positif
bagus banget anjayy update kayak post ulang stories foto pakai filter simpan foto ya tanda air pokok kasih bintang fix sesal banget download,Positif
apk bug capek instal uninstal,Positif
jelek nge bug,Negative
apa tiktok nih rusak loading ya jam bug tolong baik,Negative
siiiippp,Negative
aplikasi akun hapus tiktok,Negative
tiktok tolong ya promosi video ditolakmohon kembali dana promosi terimakasih,Positif
tolong ya tik tok sering susah buka down,Negative
rekomendasi,Negative
apk ngebak buka glblk,Positif
tolong baik tiktok buka tiktok stok logo baik ya mendownload sebab data hilang,Negative
bagus debess sih,Positif
bagus,Positif
very good,Positif
alahh huu bohong update nya burikk boy bagus,Negative
tt gua pesan kirim temn kayak aneh pliss tolong membetoloinny,Negative
live bintang ya,Positif
apk ya bikin hp ngeleg buka,Positif
tipos,Positif
aplikasi bagus,Negative
aplikasi bagus suka aplikasi jelek burik bikin hp lag simpan hp penuh garagara tik tok,Negative
tiktok,Negative
bguus,Positif
bagus aplikasi ya,Positif
bagus bantu bayar lumayan tabung,Positif
tiktok sulit buka aplikasi ram restart ulang,Negative
tiktok ya kadang masuk susah tap tap pokok ya susah masuk kadang donwload donwload masuk fitur live nya kecewa,Positif
maaf tiktok buka tolong,Negative
cant log,Negative
mohon lag ya,Positif
sih hake,Positif
download aplikasi pasuk akun tanggal lahirpadahal gue kasih bisamohon bantu ya developer,Negative
ya tiktok buka,Positif
apk mantap,Positif
hibur,Positif
bagus banget lihat idola tiktok jakarta timnas indonesia buka tiktok timnas,Positif
tiktok ya buka,Positif
recommended peluang usaha,Positif
apasihh tiktok gila buka tlol,Positif
rada kesal kayak video taqqawull,Negative
gue tuh hp ya burik hahahahahahah,Positif
min ya pas buka aplikasi ya diam gaaada video unduh bolak,Positif
mantulll,Negative
update kamera tiktok jelekk ya jernih,Positif
banget iklan ya deh suka lihat video banget iklan tolong baik min,Positif
orang nggaa langgar blokir alasann nya gue bikin vidio jlas akun gue kagaa vidio nya,Negative
aplikasi,Negative
masuk,Negative
tolong baik tiktok buka banget sumpah baik ya,Positif
tiktok buka muncul logosudah minggu inipadahal cari lihat ge bisaberkalikali uninstall restartdan hapus cachehapus data mohon bijak,Negative
jujur kecewa tiktok diri umkm rajin pakai fitur ads timbang gilir report scammer nipu lapor gagal bisnis murni hambat tiktok scammer aman aman ya kecewa,Negative
bagus,Negative
ahir ahir suka ngeleg logoo hapus donlod begituuuj,Negative
mari kawan lawan corolinaeeh corona maksud ya,Positif
enak banget libur tiktokantapi ngebug login login itu hapus aplikasi ya didownload,Positif
tambah pengetahuanmenambah pengalamanmenambah penghasilanbisa waspada bahaya modus berbedabedamenambahkan pertemananmenghilangkan galaumenghemat pengeluaranbisa puas belanja capekbisa baca novel buka bukubisa trend apa,Negative
cocok,Positif
pas masuk apk ya banget masuk konten tiktok gambar tiktok tolong baik,Positif
ya keren,Positif
sih tik tok donlot ulang,Negative
cuman stak masuk cacat,Negative
tiktok kadang buka kadang aneh,Positif
ya allah ya allah dira tidur perlu hasil maksimal hasil,Positif
aplikasi tiktok ku buka paksa buka hp lag hapus itu batas ya hari langsung ya min,Negative
susah buka,Negative
aplikasi jelek banget banyak bug ya download mending,Positif
tiktok kayak kntol tau,Negative
suka aplikasi akua suka au au loh suka banget,Positif
gampang lot,Negative
mantul boskuh,Negative
bug terosss nih aplikasi,Negative
akun kembang tolong ngembangin akun ku rmmadridistaid tolong,Positif
the best,Negative
lumayan gabut,Negative
suka dgan tiktok,Negative
aplikasi bagus foto mehihat fidio random sayang fidio akun tiktok ku blokir fidio fidio sangan muas filter ya bagus,Negative
tiktok bagus banget bikin streak,Positif
aplikasi bagus leg buka aplikasi ya buka unistal download ulang buka semenjak trakhir update kemarin eror tiktoknyaaa mohon admin baik update an tiktoknyaaa terimakasih,Negative
aplikasi bagus lelett,Negative
amazing,Negative
tiktok terima pesan kirim pesanmohon tim tiktok buka blokir pesan ya,Positif
lovelove,Negative
aplikasi senang gabut buka tiktok,Negative
anjay banget loadingnyaa update ya download ulang,Positif
tiktok bug,Positif
aplikasi ya bagus banget suka,Positif
bagus banget coba deh ngedit langsung tiktok nya kayak capcut,Positif
gj ngebug mulu pas masuk tbtb hapus apusin sampah masuk hapus donlod ulang ulang buang buang kuota banget najong,Negative
baru app ya simpan video gambar potong biar simpan diposting jdnya watermark ya kembali tiktok live kena langgar mulu kayak,Negative
tolong kurang uduh mbak nya,Negative
kecewa buka update kesini eror,Negative
bagus,Negative
buka tiktok banget buka,Positif
ban,Negative
bagus banget,Positif
filter,Negative
akun hilang hapus tik tok,Negative
aap tuh nenagin hati banget,Positif
suka bug,Positif
aplikasi bagus enak hibur pas galau sepi solusi scroll malam pagi wkwkwk,Negative
bagus sih suka ngeleg masuk tiktok ya adminnnya tiktok,Negative
akun kena banned,Negative
jelek banget tiktok buka mulu uninstall instal ulang mentang lo aplikasi favorit ya tiktok jelek,Negative
knapa akun pemberitahuan sial,Negative
setelh update ngebug kadang gambar suara cuman logo tik tok hapus instal buaka hadehhhhh,Positif
mantap aplikasi tiktok hibur,Negative
aplikasi bagus nenghibur sebagainy nya,Negative
aplikasi lambat masuk,Negative
bagus tahan,Positif
apk jelek,Negative
iya,Positif
keren sih,Positif
ya buka tiktok stak logo tiktok bolak download,Positif
aplikasi bug buka,Negative
sinkat paham,Negative
aplikasi hibur tahu pendidikanpengetahuan,Negative
tau,Negative
vidio bagus,Negative
eror,Negative
aplikasi bagus enteng,Negative
moga tiktokers,Positif
wow,Positif
spk bagus,Negative
orang,Positif
sih guna kali ngebug logo ya sumpah sih benerin kayak,Positif
tolong suport hp,Positif
mmmmmmmmmmmmmmmm www wow,Negative
live habis diupgrade,Positif
kerenmantap,Negative
aplikasi bantu kenal teman mana,Negative
deh tik tok,Positif
tiktok mantap hibur cari cuan,Negative
anjayyyyyyyyy,Positif
seru banget tiktok tiktok lite seru banget,Positif
tolong min dibenerin apknya masak habis buka uninstall capekk tau,Negative
payah masuk logo doang,Negative
nge bug jelek,Negative
ah enak,Negative
mode full tab lanscape ya ku kasih b,Positif
tiktok gemblung kode,Negative
semangat,Negative
mendownload,Negative
lamaa,Negative
suka bantu,Positif
me sok happy tiktok,Positif
kadang buka donlod,Positif
suka senang hibur senang tukar reward koin saldo dana nambahin uang jajan hari pokok mantap good,Positif
bagus apilkasinya manfaat,Positif
hai suka tiktok,Positif
bagus,Negative
akun tiktok blokir,Negative
tolong tiktok bug aplikasi buka tiktok ya ya muncul logo ya doang mohon baik,Positif
bagus tarik banget,Positif
ya allah hasil alhamdulillah,Positif
okee,Positif
tiktok harga bagi hilang gabut ku,Positif
rezasabrianalmadani,Positif
tau nih tik tok update buka mentok logo masuk,Negative
seru,Positif
baik,Negative
aplikasi bug,Negative
bagus berat apk ya,Positif
tik tok senang,Positif
optimal os android arm v bit no supot tolong aplikasi ringan android os device vivo v ram os aplikasi berat,Negative
jelek,Negative
suka tonton tiktok,Negative
capek instal kali,Positif
stuk logo erti maksud ya menganggu tolong tiktok,Positif
rawrr,Positif
slesai update buka,Negative
halo tim tiktok poto live tiktok tolong bantu cepat poto live,Positif
download aplikasi tiktok bayar,Negative
tik tok sih ngebug kali download ulang anjir muak gue sumpah,Negative
tiktok ya buka kali instal buka kali kali copot pasang copot pasang aplikasi hhehhhh bikin tambah kesal,Positif
gi,Positif
kagak live bejir,Negative
bagus suka,Negative
kesini kocak buka ngestuck logo itu buka uninstall kali gua uninstall nih apk coba pakai wifi gampang coba pakai kuota kasihan oon mending tambah nambahin fitur deh fitur burik nih apk kocak kagak buka gua capek ya lol buka ngestuck logo uninstall buka mending gua hapus,Negative
ok ok,Positif
watdehellllllllomaagaaaaa,Negative
bagus,Negative
lag parah,Negative
woi tiktok gue eror buka mulu,Negative
mantap,Positif
edit vidio tida unduh galeri,Negative
tiktok bagus paham dunia alam,Positif
favorit,Negative
apk bagus ku ngebug update ya,Positif
kadang buka tiktok suka loding,Positif
tolong tiktok ngestak mulu,Negative
login app pagi,Positif
minat,Positif
loding buka tiktok,Positif
titok kenal,Positif
woy tolong jelasin kena video gua suka ribu suka tambah profil ribu coba jlasin coba baik,Negative
bagus aplikasi ya sayang hoax ya saring fakta hoax mnyebar fitnah hoax,Negative
bug masuk tiktok crash gue kasih bintang aja,Negative
bugkalo login lamaaaaaaaaa banget dahhhhhh,Positif
bug buka,Negative
nice,Positif
puas,Positif
aplikasi dongok komen emosi dikit langsung langgar konten mancing emosi biar aplikasi kandang monyet,Negative
bagus banget gila,Positif
keren,Positif
pliss tiktok buka hapus apk download login ulang jadi kayak download ulang main tiktok capek woyy kayak download login hadehhh,Negative
suka bukaaaa hapus aplikasi downlod ulang,Negative
bagus banget gua suka,Positif
suka ngeblank sih tiktok suka ngeblok stak logo moga baik,Positif
tanda teman aktif,Negative
aplikasi bagus kesall download aplikasi tiktok buka loadingnya lamaa kali kali download hapuss mohon tiktok bantuannyaaa,Negative
kasih b alam pakai tiktok mental muluklw pas topup koin mental apktolong baik,Positif
kadang apk ya gbsa buka ngeleg haduhh,Positif
suka aplikasi,Negative
sungguhbagus ngeleg,Positif
gua pilih gakasih bintang balas tiktok ya bilang maaf ngulas ulas bakes gua buka tiktok kali menit langsung su,Negative
banyak poin ya kurang cepat uang tiktok,Positif
sangatt mrnghibur,Negative
bagus banget aplikasi bilang pas update bug hp kentang coba pakai hp bagus,Positif
aplikasi bohong,Negative
download gegara muncul logo bikin malas tonton tiktok plis baik apl tiktok,Negative
suka,Negative
aplikasih ya bagus suka,Positif
aplikasi ngebug sendirintiba masuk bikin ganyaman,Negative
instalnya lamaudah sebal,Negative
seru,Positif
jelek,Negative
ya pas vidio,Positif
bagus,Negative
nih apk banget sih dibukabahkan dbuka hapus download tiktok buka,Negative
tolong gue install ulang kali masuk aplikasi,Negative
sagat puas,Positif
beli barang sih tiktok shop diskon ribu eh tau ya kirim batal otomatis gilir beli ulang diskon,Positif
lumayan sih suka,Positif
tolong tiktok ya bagusin kakak,Positif
jelek sih fitur save ya fitur camera ya detik camera nge zoom,Positif
aplikasi kayak buka bnci banget,Negative
tiktok keren,Negative
bug kagak,Negative
mendownload mulu mendownload masuk,Negative
min tiktok tibatiba simpan abies foto ya,Positif
bagus sih sayang bug vidio musik pas durasi tolong baik ya,Positif
tik tok banget buka ya hp ngelag update buka uninstall download buka tik tok tok,Positif
bagus banget anjirapa dah bagus lewat oi,Negative
bagus banget lyrasukakamu follow akun gue gue folback,Positif
eror ya,Negative
aplikasi tik tok sih kadang buka aplikasi ya susah cuman suara ya buka cuman logo ya doang paksa uninstall tolong baik kualitas tik tok ya biar nge bug,Positif
vidionya hibur banget aplikasi hebat banget,Positif
download apk buka vidio kadang ngeframe blokir akun pakai atur ya kasih blokir minggu duluh langsung permanen ajg,Positif
mantab,Negative
maaf aplikasi bagus akhirakhir aplikasi tiktok hp buka yamohon bantu,Negative
mantap aplikasi,Positif
bagus hibur hasil,Positif
hayang ikut,Negative
hibur untuk,Negative
suka tak logo cepat baik,Positif
jelek banget buka apk ya ih,Positif
kesini susah views kontent affiliate,Negative
sngat bagus,Positif
kesini ruwettt video tonton,Negative
hati teman teman akun tiktok gampang bobol beli barang akun jual niat nipu info ganti ekspedisidikasih link klik email tiktok resmipembelian barang dicancel nomer rekening kembali dana diinput nomer rekening penipudan tuju tiktoktanpa cek nomer rekening akun terima baranguang ludes pencet pin,Negative
bintang,Negative
bagus pakai,Negative
ya lumayan sih,Positif
tiktok rame ngelag,Negative
download sinyal bagus,Negative
buka apk ya,Positif
bug,Positif
apk ya tolong baik dang kadang bug,Positif
apa vidionya isi moral banget anak sopan malu telanjang baned pakai pakai kayak orang mesum tolol banget,Negative
tik tok ya update gambar ya suara doang tolong baik,Positif
anjay,Negative
sayang nge install aplikasi ya,Negative
hp eror enek banget paslagi tonton terkadang hp panas,Negative
ups,Positif
apk tiktok invalid hp,Negative
syarat fyp tiktok woi,Positif
sukses tiktok,Positif
jelek anjjng bug mulu macet logo anjing,Negative
instal,Negative
aplikasi bagus,Negative
tiktok update,Negative
pokok seru deh,Negative
oy dk pcak buka lmo nn,Negative
kasih solusi peripikasi akun lupa id sandi ya akun tiktok asnawi tolong,Positif
alami bug,Negative
main ep ep,Negative
tik tok is the best,Positif
aplikasi bagusdan yaman,Negative
internet kuota mulu tolong baik akun leolatteaneh tiktok kuota jaring,Negative
erooorrrr eror ros banget eror pas buka moga tingkatin deh,Positif
cacat streak gue ajg hilang,Negative
ngebag masuk uninstal donlot,Negative
zara putih putih cantik killua,Negative
banget vidio guna diy barang bekasdll,Positif
tiktok alami bugaplikasi bukajadi hapus mendownload ya mohon bantu ya,Positif
bagus sih,Negative
chat tiktok,Positif
tiktok kayak sih update bug fotovideo simpan buka tiktok suka stuck logo kadang chat ditiktok suka kadang ngeleg parah tiktoknya geser tolong baik baik jelek update jelek,Negative
seru bagus,Negative
cool,Positif
kau suka bunga kau petik diya mati kau cinta bunga biar diya cinta milik harga,Positif
jelek,Negative
bagus banget aplikasi ya sedih hibur,Positif
mantuil,Negative
update min,Negative
bagussssssayaa sukaaaaaaa,Positif
pls mending bebener apk berat banget nying ngapa coba kudu tiktok shop fitur simpan poto hapus pnte mending tuh tiktok shop hapus tolong woi sadar asih rating gua,Negative
perintah maaf penuh syarat tiktok yeyeyee ya bos,Positif
tiktok sedia buat video promosi tiktok nak langgar tiktok jebak affiliate,Positif
